Index,Title,Session/Area,Authors,Affiliation,Country,Status,Proceeding URL,PDF URL,CVF URL,Arxiv URL
68,,"computational photography, face and gesture, and vision for x",Xi Peng;Shaoting Zhang;Yu Yang;Dimitris N. Metaxas;,Rutgers University;University of North Carolina at Charlotte;,United States;,Poster,http://openaccess.thecvf.com/content_iccv_2015/papers/Peng_PIEFA_Personalized_Incremental_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Peng_PIEFA_Personalized_Incremental_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Peng_PIEFA_Personalized_Incremental_ICCV_2015_paper.html,
69,,"computational photography, face and gesture, and vision for x",Amin Jourabloo;Xiaoming Liu;,Michigan State University;,United States;,Poster,http://openaccess.thecvf.com/content_iccv_2015/papers/Jourabloo_Pose-Invariant_3D_Face_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Jourabloo_Pose-Invariant_3D_Face_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Jourabloo_Pose-Invariant_3D_Face_ICCV_2015_paper.html,
70,,"computational photography, face and gesture, and vision for x",Sergey Tulyakov;Nicu Sebe;,University of Trento;,Italy;,Poster,http://openaccess.thecvf.com/content_iccv_2015/papers/Tulyakov_Regressing_a_3D_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Tulyakov_Regressing_a_3D_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Tulyakov_Regressing_a_3D_ICCV_2015_paper.html,
71,,"computational photography, face and gesture, and vision for x",Gee-Sern Hsu;Kai-Hsiang Chang;Shih-Chieh Huang;,National Taiwan University of Science and Technology;,China;,Poster,http://openaccess.thecvf.com/content_iccv_2015/papers/Hsu_Regressive_Tree_Structured_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Hsu_Regressive_Tree_Structured_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Hsu_Regressive_Tree_Structured_ICCV_2015_paper.html,
72,,"computational photography, face and gesture, and vision for x",Erroll Wood;Tadas Baltrusaitis;Xucong Zhang;Yusuke Sugano;Peter Robinson;Andreas Bulling;,University of Cambridge;Max Planck Institute for Informatics;,United Kingdom;Germany;,Poster,http://openaccess.thecvf.com/content_iccv_2015/papers/Wood_Rendering_of_Eyes_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Wood_Rendering_of_Eyes_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Wood_Rendering_of_Eyes_ICCV_2015_paper.html,
73,,"computational photography, face and gesture, and vision for x",Wei Yang;Haiting Lin;Sing Bing Kang;Jingyi Yu;,University of Delaware;Microsoft;ShanghaiTech University;,United States;China;,Poster,http://openaccess.thecvf.com/content_iccv_2015/papers/Yang_Resolving_Scale_Ambiguity_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Yang_Resolving_Scale_Ambiguity_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Yang_Resolving_Scale_Ambiguity_ICCV_2015_paper.html,
74,,"computational photography, face and gesture, and vision for x",Yue Wu;Qiang Ji;,,,Poster,http://openaccess.thecvf.com/content_iccv_2015/papers/Wu_Robust_Facial_Landmark_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Wu_Robust_Facial_Landmark_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Wu_Robust_Facial_Landmark_ICCV_2015_paper.html,
75,,"computational photography, face and gesture, and vision for x",Antony Lam;Yoshinori Kuno;,Graduate School of Science and Engineering;,,Poster,http://openaccess.thecvf.com/content_iccv_2015/papers/Lam_Robust_Heart_Rate_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Lam_Robust_Heart_Rate_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Lam_Robust_Heart_Rate_ICCV_2015_paper.html,
76,,"computational photography, face and gesture, and vision for x",Gregory P. Meyer;Shalini Gupta;Iuri Frosio;Dikpal Reddy;Jan Kautz;,University of Illinois Urbana-Champaign;NVIDIA;,United States;,Poster,http://openaccess.thecvf.com/content_iccv_2015/papers/Meyer_Robust_Model-Based_3D_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Meyer_Robust_Model-Based_3D_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Meyer_Robust_Model-Based_3D_ICCV_2015_paper.html,
77,,"computational photography, face and gesture, and vision for x",Yan Lu;Dezhen Song;,Texas A&M University;,United States;,Poster,http://openaccess.thecvf.com/content_iccv_2015/papers/Lu_Robust_RGB-D_Odometry_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/papers/Lu_Robust_RGB-D_Odometry_ICCV_2015_paper.pdf,http://openaccess.thecvf.com/content_iccv_2015/html/Lu_Robust_RGB-D_Odometry_ICCV_2015_paper.html,
