Index,Title,Session/Area,Authors,Affiliation,Status,OpenReview URL,PDF URL
48,Adaptive Sampling for Estimating Probability Distributions,,Shubhanshu Shekhar;Tara Javidi;Mohammad Ghavamzadeh;,"University of California, San Diego;Google;",Poster,,http://proceedings.mlr.press/v119/shekhar20a/shekhar20a.pdf
49,Adaptive Sketching for Fast and Convergent Canonical Polyadic Decomposition,,Alex Gittens;Kareem Aggour;Bülent Yener;,GE Global Research;Rensselaer Polytechnic Institute;,Poster,,http://proceedings.mlr.press/v119/gittens20a/gittens20a.pdf
50,AdaScale SGD: A User-Friendly Algorithm for Distributed Training,,Tyler Johnson;Pulkit Agrawal;Haijie Gu;Carlos Guestrin;,Apple;,Poster,,http://proceedings.mlr.press/v119/johnson20a/johnson20a.pdf
51,Adding seemingly uninformative labels helps in low data regimes,,Christos Matsoukas;Albert Bou Hernandez;Yue Liu;Karin Dembrower;Gisele Miranda;Emir Konuk;Johan Fredin Haslum;Athanasios Zouzos;Peter Lindholm;Fredrik Strand;Kevin Smith;,,Poster,,http://proceedings.mlr.press/v119/matsoukas20a/matsoukas20a.pdf
52,Adversarial Attacks on Copyright Detection Systems,,Parsa Saadatpanah;Ali Shafahi;Tom Goldstein;,University of Maryland;,Poster,,http://proceedings.mlr.press/v119/saadatpanah20a/saadatpanah20a.pdf
53,Adversarial Attacks on Probabilistic Autoregressive Forecasting Models,,Raphaël Dang-Nhu;Gagandeep Singh;Pavol Bielik;Martin Vechev;,ETH Zurich;,Poster,,http://proceedings.mlr.press/v119/dang-nhu20a/dang-nhu20a.pdf
54,Adversarial Filters of Dataset Biases,,Ronan Le Bras;Swabha Swayamdipta;Chandra Bhagavatula;Rowan Zellers;Matthew Peters;Ashish Sabharwal;Yejin Choi;,Allen Institute for Artificial Intelligence;University of Washington;,Poster,,http://proceedings.mlr.press/v119/bras20a/bras20a.pdf
55,Adversarial Learning Guarantees for Linear Hypotheses and Neural Networks,,Pranjal Awasthi;Natalie Frank;Mehryar Mohri;,Google;Courant Institute of Mathematical Sciences;,Poster,,http://proceedings.mlr.press/v119/awasthi20a/awasthi20a.pdf
56,Adversarial Mutual Information for Text Generation,,Boyuan Pan;Yazheng Yang;Kaizhao Liang;Bhavya Kailkhura;Zhongming Jin;Xian-Sheng Hua;Deng Cai;Bo Li;,Zhejiang University;University of Illinois Urbana-Champaign;Lawrence Livermore National Laboratory;Alibaba Group;,Poster,,http://proceedings.mlr.press/v119/pan20a/pan20a.pdf
57,Adversarial Neural Pruning with Latent Vulnerability Suppression,,Divyam Madaan;Jinwoo Shin;Sung Ju Hwang;,KAIST;AITRICS;,Poster,,http://proceedings.mlr.press/v119/madaan20a/madaan20a.pdf
