Index,Title,Session/Area,Authors,Affiliation,Country,Status,Proceeding URL,PDF URL
17,Emergent Prosociality in Multi-Agent Games Through Gifting,Agent-based and Multi-agent Systems,Woodrow Z. Wang;Mark Beliaev;Erdem Bıyık;Daniel A. Lazar;Ramtin Pedarsani;Dorsa Sadigh;,"Stanford University;University of California, Santa Barbara;",United States;,Poster,https://www.ijcai.org/proceedings/2021/61,https://www.ijcai.org/proceedings/2021/0061.pdf
18,Even More Effort Towards Improved Bounds and Fixed-Parameter Tractability for Multiwinner Rules,Agent-based and Multi-agent Systems,Sushmita Gupta;Pallavi Jain;Saket Saurabh;Nimrod Talmon;,Institute of Mathematical Sciences;Indian Institute of Technology Jodhpur;University of Bergen;Ben-Gurion University of the Negev;,India;Norway;Israel;,Poster,https://www.ijcai.org/proceedings/2021/31,https://www.ijcai.org/proceedings/2021/0031.pdf
19,Fair and Efficient Resource Allocation with Partial Information,Agent-based and Multi-agent Systems,Daniel Halpern;Nisarg Shah;,Harvard University;University of Toronto;,United States;Canada;,Poster,https://www.ijcai.org/proceedings/2021/32,https://www.ijcai.org/proceedings/2021/0032.pdf
20,Fair Pairwise Exchange among Groups,Agent-based and Multi-agent Systems,Zhaohong Sun;Taiki Todo;Toby Walsh;,University of New South Wales;Kyushu University;,Australia;Japan;,Poster,https://www.ijcai.org/proceedings/2021/59,https://www.ijcai.org/proceedings/2021/0059.pdf
21,Fairness in Long-Term Participatory Budgeting,Agent-based and Multi-agent Systems,Martin Lackner;Jan Maly;Simon Rey;,TU Wien;University of Amsterdam;,Austria;Netherlands;,Poster,https://www.ijcai.org/proceedings/2021/42,https://www.ijcai.org/proceedings/2021/0042.pdf
22,Fractional Matchings under Preferences: Stability and Optimality,Agent-based and Multi-agent Systems,Jiehua Chen;Sanjukta Roy;Manuel Sorge;,Technische Universität Wien;,Austria;,Poster,https://www.ijcai.org/proceedings/2021/13,https://www.ijcai.org/proceedings/2021/0013.pdf
23,Game-theoretic Analysis of Effort Allocation of Contributors to Public Projects,Agent-based and Multi-agent Systems,Jared Soundy;Chenhao Wang;Clay Stevens;Hau Chan;,University of Nebraska;,United States;,Poster,https://www.ijcai.org/proceedings/2021/57,https://www.ijcai.org/proceedings/2021/0057.pdf
24,Generalized Kings and Single-Elimination Winners in Random Tournaments,Agent-based and Multi-agent Systems,Pasin Manurangsi;Warut Suksompong;,Google;National University of Singapore;,United States;Singapore;,Poster,https://www.ijcai.org/proceedings/2021/46,https://www.ijcai.org/proceedings/2021/0046.pdf
25,Graphical Cake Cutting via Maximin Share,Agent-based and Multi-agent Systems,Edith Elkind;Erel Segal-Halevi;Warut Suksompong;,University of Oxford;Ariel University;National University of Singapore;,United Kingdom;Israel;Singapore;,Poster,https://www.ijcai.org/proceedings/2021/23,https://www.ijcai.org/proceedings/2021/0023.pdf
26,Guaranteeing Maximin Shares: Some Agents Left Behind,Agent-based and Multi-agent Systems,Hadi Hosseini;Andrew Searns;,Pennsylvania State University;Rochester Institute of Technology;,United States;,Poster,https://www.ijcai.org/proceedings/2021/34,https://www.ijcai.org/proceedings/2021/0034.pdf
27,H-FL:  A Hierarchical Communication-Efficient and Privacy-Protected Architecture for Federated Learning,Agent-based and Multi-agent Systems,He Yang;,Xi'an Jiao Tong University;,China;,Poster,https://www.ijcai.org/proceedings/2021/67,https://www.ijcai.org/proceedings/2021/0067.pdf
28,Identifying Norms from Observation Using MCMC Sampling,Agent-based and Multi-agent Systems,Stephen Cranefield;Ashish Dhiman;,University of Otago;Indian Institute of Technology;,New Zealand;India;,Poster,https://www.ijcai.org/proceedings/2021/17,https://www.ijcai.org/proceedings/2021/0017.pdf
29,Improving Multi-agent Coordination by Learning to Estimate Contention,Agent-based and Multi-agent Systems,Panayiotis Danassis;Florian Wiedemair;Boi Faltings;,EPFL;,Switzerland;,Poster,https://www.ijcai.org/proceedings/2021/18,https://www.ijcai.org/proceedings/2021/0018.pdf
30,Improving Welfare in One-Sided Matchings using Simple Threshold Queries,Agent-based and Multi-agent Systems,Thomas Ma;Vijay Menon;Kate Larson;,University of Toronto;University of Waterloo;,Canada;,Poster,https://www.ijcai.org/proceedings/2021/45,https://www.ijcai.org/proceedings/2021/0045.pdf
31,Interaction Considerations in Learning from Humans,Agent-based and Multi-agent Systems,Pallavi Koppol;Henny Admoni;Reid Simmons;,Carnegie Mellon University;,United States;,Poster,https://www.ijcai.org/proceedings/2021/40,https://www.ijcai.org/proceedings/2021/0040.pdf
32,Keep Your Distance: Land Division With Separation,Agent-based and Multi-agent Systems,Edith Elkind;Erel Segal-Halevi;Warut Suksompong;,University of Oxford;Ariel University;National University of Singapore;,United Kingdom;Israel;Singapore;,Poster,https://www.ijcai.org/proceedings/2021/24,https://www.ijcai.org/proceedings/2021/0024.pdf
33,Kemeny Consensus Complexity,Agent-based and Multi-agent Systems,Zack Fitzsimmons;Edith Hemaspaandra;,College of the Holy Cross;Rochester Institute of Technology;,United States;,Poster,https://www.ijcai.org/proceedings/2021/28,https://www.ijcai.org/proceedings/2021/0028.pdf
34,Learning in Markets: Greed Leads to Chaos but Following the Price is Right,Agent-based and Multi-agent Systems,Yun Kuen Cheung;Stefanos Leonardos;Georgios Piliouras;,"Royal Holloway, University of London;Singapore University of Technology and Design;",United Kingdom;Singapore;,Poster,https://www.ijcai.org/proceedings/2021/16,https://www.ijcai.org/proceedings/2021/0016.pdf
35,Learning with Generated Teammates to Achieve Type-Free Ad-Hoc Teamwork,Agent-based and Multi-agent Systems,Dong Xing;Qianhui Liu;Qian Zheng;Gang Pan;,Zhejiang University;Zhejiang Lab;Nanyang Technological University;,China;Singapore;,Poster,https://www.ijcai.org/proceedings/2021/66,https://www.ijcai.org/proceedings/2021/0066.pdf
36,Learning Within an Instance for Designing High-Revenue Combinatorial Auctions,Agent-based and Multi-agent Systems,Maria-Florina Balcan;Siddharth Prasad;Tuomas Sandholm;,"Carnegie Mellon University;Optimized Markets, Inc.;Strategic Machine, Inc.;Strategy Robot, Inc.;",United States;,Poster,https://www.ijcai.org/proceedings/2021/5,https://www.ijcai.org/proceedings/2021/0005.pdf
37,Loyalty in Cardinal Hedonic Games,Agent-based and Multi-agent Systems,Martin Bullinger;Stefan Kober;,Technical University of Munich;,Germany;,Poster,https://www.ijcai.org/proceedings/2021/10,https://www.ijcai.org/proceedings/2021/0010.pdf
38,Majority Vote in Social Networks: Make Random Friends or Be Stubborn to Overpower Elites,Agent-based and Multi-agent Systems,Charlotte Out;Ahad N. Zehmakan;,ETH Zurich;,Switzerland;,Poster,https://www.ijcai.org/proceedings/2021/49,https://www.ijcai.org/proceedings/2021/0049.pdf
39,Manipulation of k-Coalitional Games on Social Networks,Agent-based and Multi-agent Systems,Naftali Waxman;Sarit Kraus;Noam Hazon;,Bar-Ilan University;Ariel University;,Israel;,Poster,https://www.ijcai.org/proceedings/2021/63,https://www.ijcai.org/proceedings/2021/0063.pdf
40,Matchings with Group Fairness Constraints: Online and Offline Algorithms,Agent-based and Multi-agent Systems,Govind S. Sankar;Anand Louis;Meghana Nasre;Prajakta Nimbhorkar;,Indian Institute of Technology Madras;Indian Institute of Science;Chennai Mathematical Institute;UMI ReLaX;,India;France;,Poster,https://www.ijcai.org/proceedings/2021/53,https://www.ijcai.org/proceedings/2021/0053.pdf
41,Mean Field Games Flock! The Reinforcement Learning Way,Agent-based and Multi-agent Systems,Sarah Perrin;Mathieu Laurière;Julien Pérolat;Matthieu Geist;Romuald Élie;Olivier Pietquin;,University of Lille;Princeton University;DeepMind;Google;,France;United States;,Poster,https://www.ijcai.org/proceedings/2021/50,https://www.ijcai.org/proceedings/2021/0050.pdf
42,MFVFD: A Multi-Agent Q-Learning Approach to Cooperative and Non-Cooperative Tasks,Agent-based and Multi-agent Systems,Tianhao Zhang;Qiwei Ye;Jiang Bian;Guangming Xie;Tie-Yan Liu;,Peking University;Microsoft;,China;,Poster,https://www.ijcai.org/proceedings/2021/70,https://www.ijcai.org/proceedings/2021/0070.pdf
43,Multi-Agent Intention Progression with Black-Box Agents,Agent-based and Multi-agent Systems,Michael Dann;Yuan Yao;Brian Logan;John Thangarajah;,RMIT University;Zhejiang University of Technology;Utrecht University;,Australia;China;Netherlands;,Poster,https://www.ijcai.org/proceedings/2021/19,https://www.ijcai.org/proceedings/2021/0019.pdf
44,Neural Regret-Matching for Distributed Constraint Optimization Problems,Agent-based and Multi-agent Systems,Yanchen Deng;Runsheng Yu;Xinrun Wang;Bo An;,Nanyang Technological University;,Singapore;,Poster,https://www.ijcai.org/proceedings/2021/21,https://www.ijcai.org/proceedings/2021/0021.pdf
45,New Algorithms for Japanese Residency Matching,Agent-based and Multi-agent Systems,Zhaohong Sun;Taiki Todo;Makoto Yokoo;,University of New South Wales;Kyushu University;,Australia;Japan;,Poster,https://www.ijcai.org/proceedings/2021/58,https://www.ijcai.org/proceedings/2021/0058.pdf
46,On a Competitive Secretary Problem with Deferred Selections,Agent-based and Multi-agent Systems,Tomer Ezra;Michal Feldman;Ron Kupfer;,Tel Aviv University;Microsoft;Hebrew University of Jerusalem;,Israel;United States;,Poster,https://www.ijcai.org/proceedings/2021/25,https://www.ijcai.org/proceedings/2021/0025.pdf
47,Online Selection of Diverse Committees,Agent-based and Multi-agent Systems,Virginie Do;Jamal Atif;Jérôme Lang;Nicolas Usunier;,Université PSL;Meta;,France;United States;,Poster,https://www.ijcai.org/proceedings/2021/22,https://www.ijcai.org/proceedings/2021/0022.pdf
48,Participatory Budgeting with Project Groups,Agent-based and Multi-agent Systems,Pallavi Jain;Krzysztof Sornat;Nimrod Talmon;Meirav Zehavi;,Indian Institute of Technology Jodhpur;Massachusetts Institute of Technology;Ben-Gurion University;,India;United States;Israel;,Poster,https://www.ijcai.org/proceedings/2021/39,https://www.ijcai.org/proceedings/2021/0039.pdf
49,Picking Sequences and Monotonicity in Weighted Fair Division,Agent-based and Multi-agent Systems,Mithun Chakraborty;Ulrike Schmidt-Kraepelin;Warut Suksompong;,University of Michigan;Technische Universität Berlin;National University of Singapore;,United States;Germany;Singapore;,Poster,https://www.ijcai.org/proceedings/2021/12,https://www.ijcai.org/proceedings/2021/0012.pdf
50,PROPm Allocations of Indivisible Goods to Multiple Agents,Agent-based and Multi-agent Systems,Artem Baklanov;Pranav Garimidi;Vasilis Gkatzelis;Daniel Schoepflin;,HSE University;Columbia University;Drexel University;,Russian Federation;United States;,Poster,https://www.ijcai.org/proceedings/2021/4,https://www.ijcai.org/proceedings/2021/0004.pdf
51,Putting a Compass on the Map of Elections,Agent-based and Multi-agent Systems,Niclas Boehmer;Robert Bredereck;Piotr Faliszewski;Rolf Niedermeier;Stanisław Szufa;,Technische Universität Berlin;Humboldt University of Berlin;AGH University of Science and Technology;Jagiellonian University;,Germany;Poland;,Poster,https://www.ijcai.org/proceedings/2021/9,https://www.ijcai.org/proceedings/2021/0009.pdf
52,Reasoning over Argument-Incomplete AAFs in the Presence of Correlations,Agent-based and Multi-agent Systems,Bettina Fazzinga;Sergio Flesca;Filippo Furfaro;,ICAR-CNR;Università della Calabria;,Italy;,Poster,https://www.ijcai.org/proceedings/2021/27,https://www.ijcai.org/proceedings/2021/0027.pdf
53,Reducing Bus Bunching with Asynchronous Multi-Agent Reinforcement Learning,Agent-based and Multi-agent Systems,Jiawei Wang;Lijun Sun;,McGill University;,Canada;,Poster,https://www.ijcai.org/proceedings/2021/60,https://www.ijcai.org/proceedings/2021/0060.pdf
54,Relaxed Core Stability in Fractional Hedonic Games,Agent-based and Multi-agent Systems,Angelo Fanelli;Gianpiero Monaco;Luca Moscardelli;,CNRS;University of L'Aquila;University of Chieti-Pescara;,France;Italy;,Poster,https://www.ijcai.org/proceedings/2021/26,https://www.ijcai.org/proceedings/2021/0026.pdf
55,School Choice with Flexible Diversity Goals and Specialized Seats,Agent-based and Multi-agent Systems,Haris Aziz;Zhaohong Sun;,University of New South Wales;,Australia;,Poster,https://www.ijcai.org/proceedings/2021/3,https://www.ijcai.org/proceedings/2021/0003.pdf
56,Shortlisting Rules and Incentives in an End-to-End Model for Participatory Budgeting,Agent-based and Multi-agent Systems,Simon Rey;Ulle Endriss;Ronald de Haan;,University of Amsterdam;,Netherlands;,Poster,https://www.ijcai.org/proceedings/2021/52,https://www.ijcai.org/proceedings/2021/0052.pdf
57,State-Aware Value Function Approximation with Attention Mechanism for Restless Multi-armed Bandits,Agent-based and Multi-agent Systems,Shuang Wu;Jingyu Zhao;Guangjian Tian;Jun Wang;,Huawei;University of Hong Kong;University College London;,China;United Kingdom;,Poster,https://www.ijcai.org/proceedings/2021/64,https://www.ijcai.org/proceedings/2021/0064.pdf
58,Stochastic Market Games,Agent-based and Multi-agent Systems,Kyrill Schmid;Lenz Belzner;Robert Müller;Johannes Tochtermann;Claudia Linnhoff-Popien;,Ludwig Maximilian University of Munich;Technische Hochschule Ingolstadt;,Germany;,Poster,https://www.ijcai.org/proceedings/2021/54,https://www.ijcai.org/proceedings/2021/0054.pdf
59,Strategyproof Randomized Social Choice for Restricted Sets of Utility Functions,Agent-based and Multi-agent Systems,Patrick Lederer;,Technische Universität München;,Germany;,Poster,https://www.ijcai.org/proceedings/2021/43,https://www.ijcai.org/proceedings/2021/0043.pdf
60,SURPRISE! and When to Schedule It.,Agent-based and Multi-agent Systems,Zhihuan Huang;Shengwei Xu;You Shan;Yuxuan Lu;Yuqing Kong;Tracy Xiao Liu;Grant Schoenebeck;,Peking University;University of Michigan;Tsinghua University;,China;United States;,Poster,https://www.ijcai.org/proceedings/2021/36,https://www.ijcai.org/proceedings/2021/0036.pdf
61,"Surprisingly Popular Voting Recovers Rankings, Surprisingly!",Agent-based and Multi-agent Systems,Hadi Hosseini;Debmalya Mandal;Nisarg Shah;Kevin Shi;,Pennsylvania State University;Columbia University;University of Toronto;,United States;Canada;,Poster,https://www.ijcai.org/proceedings/2021/35,https://www.ijcai.org/proceedings/2021/0035.pdf
62,Tango: Declarative Semantics for Multiagent Communication Protocols,Agent-based and Multi-agent Systems,Munindar P. Singh;Samuel H. Christie V.;,North Carolina State University;Lancaster University;,United States;United Kingdom;,Poster,https://www.ijcai.org/proceedings/2021/55,https://www.ijcai.org/proceedings/2021/0055.pdf
63,Temporal Induced Self-Play for Stochastic Bayesian Games,Agent-based and Multi-agent Systems,Weizhe Chen;Zihan Zhou;Yi Wu;Fei Fang;,Shanghai Jiao Tong University;Shanghai Qi Zhi Institute;Tsinghua University;Carnegie Mellon University;,China;United States;,Poster,https://www.ijcai.org/proceedings/2021/14,https://www.ijcai.org/proceedings/2021/0014.pdf
64,The Parameterized Complexity of Connected Fair Division,Agent-based and Multi-agent Systems,Argyrios Deligkas;Eduard Eiben;Robert Ganian;Thekla Hamm;Sebastian Ordyniak;,University of London;Technische Universität Wien;University of Leeds;,United Kingdom;Austria;,Poster,https://www.ijcai.org/proceedings/2021/20,https://www.ijcai.org/proceedings/2021/0020.pdf
65,Two Influence Maximization Games on Graphs Made Temporal,Agent-based and Multi-agent Systems,Niclas Boehmer;Vincent Froese;Julia Henkel;Yvonne Lasars;Rolf Niedermeier;Malte Renken;,Technische Universität Berlin;,Germany;,Poster,https://www.ijcai.org/proceedings/2021/7,https://www.ijcai.org/proceedings/2021/0007.pdf
66,Two-Sided Matching Meets Fair Division,Agent-based and Multi-agent Systems,Rupert Freeman;Evi Micha;Nisarg Shah;,University of Virginia;University of Toronto;,United States;Canada;,Poster,https://www.ijcai.org/proceedings/2021/29,https://www.ijcai.org/proceedings/2021/0029.pdf
