Index,Title,Session/Area,Authors,Affiliation,Country,Status,Proceeding URL,PDF URL,CVF URL,Arxiv URL
1274,What Changes Can Large-scale Language Models Bring? Intensive Study on HyperCLOVA: Billions-scale Korean Generative Pretrained Transformers,,Boseop Kim;HyoungSeok Kim;Sang-Woo Lee;Gichang Lee;Donghyun Kwak;Jeon Dong Hyeon;Sunghyun Park;Sungju Kim;Seonhoon Kim;Dongpil Seo;Heungsub Lee;Minyoung Jeong;Sungjae Lee;Minsub Kim;Suk Hyun Ko;Seokhun Kim;Taeyong Park;Jinuk Kim;Soyoung Kang;Na-Hyeon Ryu;Kang Min Yoo;Minsuk Chang;Soobin Suh;Sookyo In;Jinseong Park;Kyungduk Kim;Hiun Kim;Jisu Jeong;Yong Goo Yeo;Donghoon Ham;Dongju Park;Min Young Lee;Jaewook Kang;Inho Kang;Jung-Woo Ha;Woomyoung Park;Nako Sung;,,,Main,https://aclanthology.org/2021.emnlp-main.274/,https://aclanthology.org/2021.emnlp-main.274.pdf,,
1275,What Does Your Smile Mean? Jointly Detecting Multi-Modal Sarcasm and Sentiment Using Quantum Probability,,Yaochen Liu;Yazhou Zhang;Qiuchi Li;Benyou Wang;Dawei Song;,Beijing Institute of Technology;Zhengzhou University of Light Industry;Nanjing University;University of Copenhagen;University of Padua;,China;Denmark;Italy;,finding,https://aclanthology.org/2021.findings-emnlp.74/,https://aclanthology.org/2021.findings-emnlp.74.pdf,,
1276,What happens if you treat ordinal ratings as interval data? Human evaluations in NLP are even more under-powered than you think,,David M. Howcroft;Verena Rieser;,Edinburgh Napier University;Heriot-Watt University;,United Kingdom;,Main,https://aclanthology.org/2021.emnlp-main.703/,https://aclanthology.org/2021.emnlp-main.703.pdf,,
1277,What If Sentence-hood is Hard to Define: A Case Study in Chinese Reading Comprehension,,Jiawei Wang;Hai Zhao;Yinggong Zhao;Libin Shen;,Shanghai Jiao Tong University;Leyan Tech;,China;,finding,https://aclanthology.org/2021.findings-emnlp.202/,https://aclanthology.org/2021.findings-emnlp.202.pdf,,
1278,What to Pre-Train on? Efficient Intermediate Task Selection,,Clifton Poth;Jonas Pfeiffer;Andreas Rücklé;Iryna Gurevych;,,,Main,https://aclanthology.org/2021.emnlp-main.827/,https://aclanthology.org/2021.emnlp-main.827.pdf,,
1279,What’s Hidden in a One-layer Randomly Weighted Transformer?,,Sheng Shen;Zhewei Yao;Douwe Kiela;Kurt Keutzer;Michael Mahoney;,"University of California, Berkeley;Meta;",United States;,Main,https://aclanthology.org/2021.emnlp-main.231/,https://aclanthology.org/2021.emnlp-main.231.pdf,,
1280,What’s in a Name? Answer Equivalence For Open-Domain Question Answering,,Chenglei Si;Chen Zhao;Jordan Boyd-Graber;,University of Maryland;,United States;,Main,https://aclanthology.org/2021.emnlp-main.757/,https://aclanthology.org/2021.emnlp-main.757.pdf,,
1281,What’s in Your Head? Emergent Behaviour in Multi-Task Transformer Models,,Mor Geva;Uri Katz;Aviv Ben-Arie;Jonathan Berant;,Tel-Aviv University;Allen Institute for Artificial Intelligence;Independent Researcher;,Israel;United States;;,Main,https://aclanthology.org/2021.emnlp-main.646/,https://aclanthology.org/2021.emnlp-main.646.pdf,,
1282,When Attention Meets Fast Recurrence: Training Language Models with Reduced Compute,,Tao Lei;,ASAPP;,United States;,Main,https://aclanthology.org/2021.emnlp-main.602/,https://aclanthology.org/2021.emnlp-main.602.pdf,,
1283,When differential privacy meets NLP: The devil is in the detail,,Ivan Habernal;,,,Main,https://aclanthology.org/2021.emnlp-main.114/,https://aclanthology.org/2021.emnlp-main.114.pdf,,
1284,When in Doubt: Improving Classification Performance with Alternating Normalization,,Menglin Jia;Austin Reiter;Ser-Nam Lim;Yoav Artzi;Claire Cardie;,Cornell University;Meta;,United States;,finding,https://aclanthology.org/2021.findings-emnlp.148/,https://aclanthology.org/2021.findings-emnlp.148.pdf,,
1285,When is Wall a Pared and when a Muro?: Extracting Rules Governing Lexical Selection,,Aditi Chaudhary;Kayo Yin;Antonios Anastasopoulos;Graham Neubig;,Carnegie Mellon University;George Mason University;,United States;,Main,https://aclanthology.org/2021.emnlp-main.553/,https://aclanthology.org/2021.emnlp-main.553.pdf,,
1286,When Retriever-Reader Meets Scenario-Based Multiple-Choice Questions,,ZiXian Huang;Ao Wu;Yulin Shen;Gong Cheng;Yuzhong Qu;,Nanjing University;,China;,finding,https://aclanthology.org/2021.findings-emnlp.84/,https://aclanthology.org/2021.findings-emnlp.84.pdf,,
1287,Which is Making the Contribution: Modulating Unimodal and Cross-modal Dynamics for Multimodal Sentiment Analysis,,Ying Zeng;Sijie Mai;Haifeng Hu;,Sun Yat-sen University;,China;,finding,https://aclanthology.org/2021.findings-emnlp.109/,https://aclanthology.org/2021.findings-emnlp.109.pdf,,
1288,WhiteningBERT: An Easy Unsupervised Sentence Embedding Approach,,Junjie Huang;Duyu Tang;Wanjun Zhong;Shuai Lu;Linjun Shou;Ming Gong;Daxin Jiang;Nan Duan;,Beihang University;Microsoft;Sun Yat-sen University;Peking University;,China;,finding,https://aclanthology.org/2021.findings-emnlp.23/,https://aclanthology.org/2021.findings-emnlp.23.pdf,,
1289,"WHOSe Heritage: Classification of UNESCO World Heritage Statements of ""Outstanding Universal Value” with Soft Labels",,Nan Bai;Renqian Luo;Pirouz Nourian;Ana Pereira Roders;,Delft University of Technology;University of Science and Technology of China;,Netherlands;China;,finding,https://aclanthology.org/2021.findings-emnlp.34/,https://aclanthology.org/2021.findings-emnlp.34.pdf,,
1290,WhyAct: Identifying Action Reasons in Lifestyle Vlogs,,Oana Ignat;Santiago Castro;Hanwen Miao;Weiji Li;Rada Mihalcea;,University of Michigan;,United States;,Main,https://aclanthology.org/2021.emnlp-main.392/,https://aclanthology.org/2021.emnlp-main.392.pdf,,
1291,WIKIBIAS: Detecting Multi-Span Subjective Biases in Language,,Yang Zhong;Jingfeng Yang;Wei Xu;Diyi Yang;,Ohio State University;Georgia Institute of Technology;,United States;,finding,https://aclanthology.org/2021.findings-emnlp.155/,https://aclanthology.org/2021.findings-emnlp.155.pdf,,
