Index,Title,Authors,Affiliation,Status,Link
38,Affine Independent Variational Inference,"Edward Challis, David Barber",University College London,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/d91d1b4d82419de8a614abce9cc0e6d4-Abstract.html
39,Algorithms for Learning Markov Field Policies,"Abdeslam Boularias, Jan R. Peters, Oliver B. Kroemer",Max Planck Institute for Intelligent Systems; Technische Universität Darmstadt,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/9f36407ead0629fc166f14dde7970f68-Abstract.html
40,An Integer Optimization Approach to Associative Classification,"Dimitris Bertsimas, Allison Chang, Cynthia Rudin",,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/9e7ba617ad9e69b39bd0c29335b79629-Abstract.html
41,Analog readout for optical reservoir computers,"Anteo Smerieri, François Duport, Yvon Paquot, Benjamin Schrauwen, Marc Haelterman, Serge Massar",,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/250cf8b51c773f3f8dc8b4be867a9a02-Abstract.html
42,Analyzing 3D Objects in Cluttered Images,"Mohsen Hejrati, Deva Ramanan","University of California, Irvine",Poster,https://papers.nips.cc/paper_files/paper/2012/hash/918317b57931b6b7a7d29490fe5ec9f9-Abstract.html
43,Ancestor Sampling for Particle Gibbs,"Fredrik Lindsten, Thomas Schön, Michael I. Jordan","Linköping University; University of California, Berkeley",Poster,https://papers.nips.cc/paper_files/paper/2012/hash/4122cb13c7a474c1976c9706ae36521d-Abstract.html
44,Angular Quantization-based Binary Codes for Fast Similarity Search,"Yunchao Gong, Sanjiv Kumar, Vishal Verma, Svetlana Lazebnik",University of North Carolina at Chapel Hill; Google; University of Illinois Urbana-Champaign,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/f5deaeeae1538fb6c45901d524ee2f98-Abstract.html
45,Approximate Message Passing with Consistent Parameter Estimation and Applications to Sparse Learning,"Ulugbek Kamilov, Sundeep Rangan, Michael Unser, Alyson K. Fletcher","EPFL; New York University; University of California, Santa Cruz",Poster,https://papers.nips.cc/paper_files/paper/2012/hash/83f97f4825290be4cb794ec6a234595f-Abstract.html
46,Approximating Concavely Parameterized Optimization Problems,"Joachim Giesen, Jens Mueller, Soeren Laue, Sascha Swiercy",Friedrich-Schiller-Universität,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/bdb106a0560c4e46ccc488ef010af787-Abstract.html
47,Approximating Equilibria in Sequential Auctions with Incomplete Information and Multi-Unit Demand,"Amy Greenwald, Jiacui Li, Eric Sodomka",Brown University,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/801c14f07f9724229175b8ef8b4585a8-Abstract.html
48,Assessing Blinding in Clinical Trials,Ognjen Arandjelovic,Deakin University,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/d6baf65e0b240ce177cf70da146c8dc8-Abstract.html
49,Augment-and-Conquer Negative Binomial Processes,"Mingyuan Zhou, Lawrence Carin",Duke University,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/6a61d423d02a1c56250dc23ae7ff12f3-Abstract.html
50,Augmented-SVM: Automatic space partitioning for combining multiple non-linear dynamics,"Ashwini Shukla, Aude Billard",EPFL,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/1be3bc32e6564055d5ca3e5a354acbef-Abstract.html
51,Automatic Feature Induction for Stagewise Collaborative Filtering,"Joonseok Lee, Mingxuan Sun, Seungyeon Kim, Guy Lebanon",Georgia Institute of Technology; Google,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/8f85517967795eeef66c225f7883bdcb-Abstract.html
52,Bandit Algorithms boost Brain Computer Interfaces for motor-task selection of a brain-controlled button,"Joan Fruitet, Alexandra Carpentier, Maureen Clerc, Rémi Munos",INRIA; CMS,Poster,https://papers.nips.cc/paper_files/paper/2012/hash/57aeee35c98205091e18d1140e9f38cf-Abstract.html
