Index,Title,Authors,Affiliation,Status,Link
73,A Stochastic Path Integral Differential EstimatoR  Expectation Maximization Algorithm,"Gersende Fort, Eric Moulines, Hoi-To Wai",,Poster,https://nips.cc/virtual/2020/poster/18704
74,A Study on Encodings for Neural Architecture Search,"Colin White, Willie Neiswanger, Sam Nolen, Yash Savani","Abacus.AI; Stanford University; Petuum, Inc.",Spotlight,https://nips.cc/virtual/2020/poster/17196
75,A Theoretical Framework for Target Propagation,"Alexander Meulemans, Francesco Carzaniga, Johan Suykens, João Sacramento, Benjamin F. Grewe",University of Zürich; KU Leuven,Spotlight,https://nips.cc/virtual/2020/poster/17648
76,A Tight Lower Bound and Efficient Reduction for Swap Regret,Shinji Ito,NEC Corporation,Spotlight,https://nips.cc/virtual/2020/poster/18277
77,A Topological Filter for Learning with Label Noise,"Pengxiang Wu, Songzhu Zheng, Mayank Goswami, Dimitris Metaxas, Chao Chen",Rutgers University; Stony Brook University; City University of New York,Poster,https://nips.cc/virtual/2020/poster/17927
78,A Unified Switching System Perspective and Convergence Analysis of Q-Learning Algorithms,"Donghwan Lee, Niao He",Korea Advanced Institute of Science and Technology; University of Illinois Urbana-Champaign,Poster,https://nips.cc/virtual/2020/poster/18942
79,A Unified View of Label Shift Estimation,"Saurabh Garg, Yifan Wu, Sivaraman Balakrishnan, Zachary Lipton",,Poster,https://nips.cc/virtual/2020/poster/18123
80,A Unifying View of Optimism in Episodic Reinforcement Learning,"Gergely Neu, Ciara Pike-Burke",Universitat Pompeu Fabra; Imperial College London,Poster,https://nips.cc/virtual/2020/poster/18871
81,A Universal Approximation Theorem of Deep Neural Networks for Expressing Probability Distributions,"Yulong Lu, Jianfeng Lu",University of Massachusetts Amherst; Duke University,Poster,https://nips.cc/virtual/2020/poster/17543
82,A Variational Approach for Learning from Positive and Unlabeled Data,"Hui Chen, Fangqing Liu, Yin Wang, Liyue Zhao, Hao Wu",,Poster,https://nips.cc/virtual/2020/poster/17736
83,A/B Testing in Dense Large-Scale Networks: Design and Inference,"Preetam Nandy, Kinjal Basu, Shaunak Chatterjee, Ye Tu",,Spotlight,https://nips.cc/virtual/2020/poster/18947
