番号,title,status,decision_raw,rating,all_ratings,authors,href
2007,Neural Gaffer: Relighting Any Object via Diffusion,poster,Accept (poster),5.5,"[4, 7, 5, 6]","Haian Jin, Yuan Li, Fujun Luan, Yuanbo Xiangli, Sai Bi, Kai Zhang, Zexiang Xu, Jin Sun, Noah Snavely",https://openreview.net/forum?id=zV2GDsZb5a
9432,Towards Understanding the Working Mechanism of Text-to-Image Diffusion Model,poster,Accept (poster),6.5,"[6, 7, 7, 6]","Mingyang Yi, Aoxue Li, Yi Xin, Zhenguo Li",https://openreview.net/forum?id=zTu0QEpvtZ
3631,Deep Correlated Prompting for Visual Recognition with Missing Modalities,poster,Accept (poster),5.2,"[5, 6, 5, 4, 6]","Lianyu Hu, Tongkai Shi, Wei Feng, Fanhua Shang, Liang Wan",https://openreview.net/forum?id=zO55ovdLJw
4022,ResAD: A Simple Framework for Class Generalizable Anomaly Detection,spotlight,Accept (spotlight),6.0,"[6, 7, 6, 5]","Xincheng Yao, Zixin Chen, Chao Gao, Guangtao Zhai, Chongyang Zhang",https://openreview.net/forum?id=zNiJZUAlxg
6495,Continuous Spatiotemporal Events Decoupling through Spike-based Bayesian Computation,poster,Accept (poster),6.0,"[7, 7, 5, 5]","Yajing Zheng, Jiyuan Zhang, Zhaofei Yu, Tiejun Huang",https://openreview.net/forum?id=zNIhPZnqhh
4762,Improved Few-Shot Jailbreaking Can Circumvent Aligned Language Models and Their Defenses,poster,Accept (poster),5.8,"[6, 7, 7, 3, 6]","Xiaosen Zheng, Tianyu Pang, Chao Du, Qian Liu, Jing Jiang, Min Lin",https://openreview.net/forum?id=zMNd0JuceF
7781,DART-Math: Difficulty-Aware Rejection Tuning for Mathematical Problem-Solving,poster,Accept (poster),4.75,"[4, 4, 5, 6]","Yuxuan Tong, Xiwen Zhang, Rui Wang, Ruidong Wu, Junxian He",https://openreview.net/forum?id=zLU21oQjD5
2564,"Logarithmic Smoothing for Pessimistic Off-Policy Evaluation, Selection and Learning",spotlight,Accept (spotlight),6.5,"[7, 3, 6, 10]","Otmane Sakhi, Imad Aouali, Pierre Alquier, Nicolas Chopin",https://openreview.net/forum?id=zLClygeRK8
9334,Improving Sparse Decomposition of Language Model Activations with Gated Sparse Autoencoders,poster,Accept (poster),6.5,"[6, 7, 6, 7]","Senthooran Rajamanoharan, Arthur Conmy, Lewis Smith, Tom Lieberum, Vikrant Varma, Janos Kramar, Rohin Shah, Neel Nanda",https://openreview.net/forum?id=zLBlin2zvW
1488,Marginal Causal Flows for Validation and Inference,poster,Accept (poster),6.75,"[7, 7, 6, 7]","Daniel de Vassimon Manela, Laura Battaglia, Robin J. Evans",https://openreview.net/forum?id=zJremsKVyh
5417,Slicing Vision Transformer for Flexible Inference,poster,Accept (poster),5.5,"[4, 7, 5, 6]","Yitian Zhang, Huseyin Coskun, Xu Ma, Huan Wang, Ke Ma, Stephen Xi Chen, Derek Hao Hu, Yun Fu",https://openreview.net/forum?id=zJNSbgl4UA
12648,Bridging Model-Based Optimization and Generative Modeling via Conservative Fine-Tuning of Diffusion Models,poster,Accept (poster),6.25,"[6, 7, 5, 7]","Masatoshi Uehara, Yulai Zhao, Ehsan Hajiramezanali, Gabriele Scalia, Gökcen Eraslan, Avantika Lal, Sergey Levine, Tommaso Biancalani",https://openreview.net/forum?id=zIr2QjU4hl
2335,Scene Graph Disentanglement and Composition for Generalizable Complex Image Generation,spotlight,Accept (spotlight),6.25,"[8, 6, 6, 5]","Yunnan Wang, Ziqiang Li, Wenyao Zhang, Zequn Zhang, Baao Xie, Xihui Liu, Wenjun Zeng, Xin Jin",https://openreview.net/forum?id=zGN0YWy2he
6572,Direct Language Model Alignment from Online AI Feedback,reject,Reject,4.0,"[4, 4, 5, 3]","Shangmin Guo, Biao Zhang, Tianlin Liu, Tianqi Liu, Misha Khalman, Felipe Llinares-López, Alexandre Rame, Thomas Mesnard, Yao Zhao, Bilal Piot, Johan Ferret, Mathieu Blondel",https://openreview.net/forum?id=zFHJUSTZka
20239,A teacher-teacher framework for clinical language representation learning,poster,Accept (poster),5.0,"[6, 4, 3, 5, 7]","Feiqing Huang, Shenghan Zhang, Sara Morini Sweet, Tianxi Cai",https://openreview.net/forum?id=zDaD8zv8tG
9755,UIR-LoRA: Achieving Universal Image Restoration through Multiple Low-Rank Adaptation,reject,Reject,4.8,"[3, 6, 5, 6, 4]","Cheng Zhang, Dong Gong, Jiumei He, Yu Zhu, Jinqiu Sun, Yanning Zhang",https://openreview.net/forum?id=zDYXdR3ClP
12078,FedNE: Surrogate-Assisted Federated Neighbor Embedding for Dimensionality Reduction,poster,Accept (poster),4.5,"[5, 3, 5, 5]","Ziwei Li, Xiaoqi Wang, Hong-You Chen, Han Wei Shen, Wei-Lun Chao",https://openreview.net/forum?id=zBMKodNgKX
4055,Amortized Bayesian Experimental Design for Decision-Making,poster,Accept (poster),6.25,"[7, 6, 6, 6]","Daolang Huang, Yujia Guo, Luigi Acerbi, Samuel Kaski",https://openreview.net/forum?id=zBG7WogAvm
20754,Multi-Label Learning with Stronger Consistency Guarantees,poster,Accept (poster),6.25,"[5, 7, 8, 5]","Anqi Mao, Mehryar Mohri, Yutao Zhong",https://openreview.net/forum?id=zAuerb1KGx
14763,On Differentially Private U Statistics,poster,Accept (poster),6.25,"[7, 5, 6, 7]","Kamalika Chaudhuri, Po-Ling Loh, Shourya Pandey, Purnamrita Sarkar",https://openreview.net/forum?id=zApFYcLg6K
10243,PURE: Prompt Evolution with Graph ODE for Out-of-distribution Fluid Dynamics Modeling,poster,Accept (poster),5.25,"[5, 4, 5, 7]","Hao Wu, Changhu Wang, Fan Xu, Jinbao Xue, Chong Chen, Xian-Sheng Hua, Xiao Luo",https://openreview.net/forum?id=z86knmjoUq
8851,The Many Faces of Optimal Weak-to-Strong Learning,poster,Accept (poster),6.0,"[8, 3, 7]","Mikael Møller Høgsgaard, Kasper Green Larsen, Markus Engelund Mathiasen",https://openreview.net/forum?id=z7h7zMgyPJ
20568,Learning diverse causally emergent representations from time series data,poster,Accept (poster),6.25,"[5, 6, 7, 7]","David McSharry, Christos Kaplanis, Fernando E Rosas, Pedro A. M. Mediano",https://openreview.net/forum?id=z6reLFqv6w
5210,Vision Model Pre-training on Interleaved Image-Text Data via Latent Compression Learning,poster,Accept (poster),4.75,"[6, 4, 4, 5]","Chenyu Yang, Xizhou Zhu, Jinguo Zhu, Weijie Su, Junjie Wang, Xuan Dong, Wenhai Wang, Bin Li, Jie Zhou, Yu Qiao, Jifeng Dai",https://openreview.net/forum?id=z6KNvOe9zQ
1294,Unveiling the Hidden: Online Vectorized HD Map Construction with Clip-Level Token Interaction and Propagation,poster,Accept (poster),5.75,"[5, 7, 6, 5]","Nayeon Kim, Hongje Seong, Daehyun Ji, Sujin Jang",https://openreview.net/forum?id=z4eVwH484M
14364,Gated Inference Network: Inference and Learning State-Space Models,poster,Accept (poster),7.0,"[7, 8, 6]","Hamidreza Hashempoor, Wan Choi",https://openreview.net/forum?id=z4duW3KzlD
13678,Guiding Neural Collapse: Optimising Towards the Nearest Simplex Equiangular Tight Frame,poster,Accept (poster),5.75,"[6, 6, 6, 5]","Evan Markou, Thalaiyasingam Ajanthan, Stephen Gould",https://openreview.net/forum?id=z4FaPUslma
14977,Provably Efficient Reinforcement Learning with Multinomial Logit Function Approximation,poster,Accept (poster),5.8,"[5, 6, 6, 6, 6]","Long-Fei Li, Yu-Jie Zhang, Peng Zhao, Zhi-Hua Zhou",https://openreview.net/forum?id=z2739hYuR3
637,XMask3D: Cross-modal Mask Reasoning for Open Vocabulary 3D Semantic Segmentation,poster,Accept (poster),5.75,"[5, 5, 7, 6]","Ziyi Wang, Yanbo Wang, Xumin Yu, Jie Zhou, Jiwen Lu",https://openreview.net/forum?id=z1GwaNoGnr
12192,DiffusionPDE: Generative PDE-Solving under Partial Observation,poster,Accept (poster),5.75,"[5, 6, 4, 8]","Jiahe Huang, Guandao Yang, Zichen Wang, Jeong Joon Park",https://openreview.net/forum?id=z0I2SbjN0R
5631,ReLIZO: Sample Reusable Linear Interpolation-based Zeroth-order Optimization,poster,Accept (poster),6.33,"[7, 6, 6]","Xiaoxing Wang, Xiaohan Qin, Xiaokang Yang, Junchi Yan",https://openreview.net/forum?id=yzviAnpvU6
7753,Changing the Training Data Distribution to Reduce Simplicity Bias Improves In-distribution Generalization,poster,Accept (poster),5.0,"[6, 6, 4, 4]","Dang Nguyen, Paymon Haddad, Eric Gan, Baharan Mirzasoleiman",https://openreview.net/forum?id=yySpldUsU2
11838,REBEL: Reinforcement Learning via Regressing Relative Rewards,poster,Accept (poster),6.75,"[7, 5, 7, 8]","Zhaolin Gao, Jonathan Daniel Chang, Wenhao Zhan, Owen Oertell, Gokul Swamy, Kianté Brantley, Thorsten Joachims, J. Andrew Bagnell, Jason D. Lee, Wen Sun",https://openreview.net/forum?id=yxjWAJzUyV
2417,AV-Cloud: Spatial Audio Rendering Through Audio-Visual Cloud Splatting,poster,Accept (poster),6.0,"[6, 7, 5]","Mingfei Chen, Eli Shlizerman",https://openreview.net/forum?id=yxOrSmS5wR
5315,Towards Multi-Domain Learning for Generalizable Video Anomaly Detection,poster,Accept (poster),4.75,"[5, 5, 5, 4]","MyeongAh Cho, Taeoh Kim, Minho Shim, Dongyoon Wee, Sangyoun Lee",https://openreview.net/forum?id=ywEQkCmImh
12625,Personalized Federated Learning with Mixture of Models for Adaptive Prediction and Model Fine-Tuning,poster,Accept (poster),5.0,"[4, 5, 6, 5]","Pouya M. Ghari, Yanning Shen",https://openreview.net/forum?id=yvUHnBkCzd
13909,MutaPLM: Protein Language Modeling for Mutation Explanation and Engineering,poster,Accept (poster),5.67,"[5, 6, 6]","YIZHEN LUO, Zikun Nie, Massimo Hong, Suyuan Zhao, Hao Zhou, Zaiqing Nie",https://openreview.net/forum?id=yppcLFeZgy
5522,GTBench: Uncovering the Strategic Reasoning Capabilities of LLMs via Game-Theoretic Evaluations,poster,Accept (poster),6.0,"[4, 7, 7, 6]","Jinhao Duan, Renming Zhang, James Diffenderfer, Bhavya Kailkhura, Lichao Sun, Elias Stengel-Eskin, Mohit Bansal, Tianlong Chen, Kaidi Xu",https://openreview.net/forum?id=ypggxVWIv2
8054,Federated Ensemble-Directed Offline Reinforcement Learning,poster,Accept (poster),7.0,"[6, 7, 8]","Desik Rengarajan, Nitin Ragothaman, Dileep Kalathil, Srinivas Shakkottai",https://openreview.net/forum?id=ypaqE8UwsC
10529,Neural Concept Binder,poster,Accept (poster),5.5,"[5, 4, 7, 6]","Wolfgang Stammer, Antonia Wüst, David Steinmann, Kristian Kersting",https://openreview.net/forum?id=ypPzyflbYs
7362,Decoupling Semantic Similarity from Spatial Alignment for Neural Networks.,poster,Accept (poster),5.5,"[6, 6, 5, 5]","Tassilo Wald, Constantin Ulrich, Priyank Jaini, Gregor Koehler, David Zimmerer, Stefan Denner, Fabian Isensee, Michael Baumgartner, Klaus Maier-Hein",https://openreview.net/forum?id=ypFgcT147Z
16207,PGN: The RNN's New Successor is Effective for Long-Range Time Series Forecasting,poster,Accept (poster),6.25,"[6, 7, 5, 7]","Yuxin Jia, Youfang Lin, Jing Yu, Shuo Wang, Tianhao Liu, Huaiyu Wan",https://openreview.net/forum?id=ypEamFKu2O
2638,ReGS: Reference-based Controllable Scene Stylization with Gaussian Splatting,poster,Accept (poster),5.8,"[5, 6, 6, 7, 5]","Yiqun Mei, Jiacong Xu, Vishal M. Patel",https://openreview.net/forum?id=ynJr0RW6FR
10327,Information-theoretic Generalization Analysis for Expected Calibration Error,poster,Accept (poster),6.0,"[5, 6, 6, 7]","Futoshi Futami, Masahiro Fujisawa",https://openreview.net/forum?id=yltJAlwtW9
7055,Fair Wasserstein Coresets,poster,Accept (poster),6.25,"[6, 6, 7, 6]","Zikai Xiong, Niccolo Dalmasso, Shubham Sharma, Freddy Lecue, Daniele Magazzeni, Vamsi K. Potluru, Tucker Balch, Manuela Veloso",https://openreview.net/forum?id=ylceJ2xIw5
5173,Towards Flexible 3D Perception: Object-Centric Occupancy Completion Augments 3D Object Detection,poster,Accept (poster),5.75,"[6, 6, 6, 5]","Chaoda Zheng, Feng Wang, Naiyan Wang, Shuguang Cui, Zhen Li",https://openreview.net/forum?id=yktQNqtepd
11025,CemiFace: Center-based Semi-hard Synthetic Face Generation for Face Recognition,poster,Accept (poster),5.8,"[9, 5, 5, 5, 5]","Zhonglin Sun, Siyang Song, Ioannis Patras, Georgios Tzimiropoulos",https://openreview.net/forum?id=ykQnxko1cJ
9560,Controlling Continuous Relaxation for Combinatorial Optimization,poster,Accept (poster),5.0,"[6, 6, 4, 4]",Yuma Ichikawa,https://openreview.net/forum?id=ykACV1IhjD
14176,From Trojan Horses to Castle Walls: Unveiling Bilateral Data Poisoning Effects in Diffusion Models,poster,Accept (poster),6.0,"[6, 6, 6, 6]","Zhuoshi Pan, Yuguang Yao, Gaowen Liu, Bingquan Shen, H. Vicky Zhao, Ramana Rao Kompella, Sijia Liu",https://openreview.net/forum?id=yiXZZC5qDI
9810,Avoiding Undesired Future with Minimal Cost in Non-Stationary Environments,poster,Accept (poster),6.33,"[5, 7, 7]","Wen-Bo Du, Tian Qin, Tian-Zuo Wang, Zhi-Hua Zhou",https://openreview.net/forum?id=yhd2kHHNtB
12269,Optimal Algorithms for Learning Partitions with Faulty Oracles,poster,Accept (poster),6.5,"[8, 6, 6, 6]","Adela Frances DePavia, Olga Medrano Martín del Campo, Erasmo Tani",https://openreview.net/forum?id=ygDl8q02gA
