Index,Title,Session/Area,Authors,Affiliation,Country,Status,Proceeding URL,PDF URL,CVF URL,Arxiv URL
152,Event Retrieval in Large Video Collections with Circulant Temporal Encoding,,Jerome Revaud;Matthijs Douze;Cordelia Schmid;Herve Jegou;,,,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Revaud_Event_Retrieval_in_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Revaud_Event_Retrieval_in_2013_CVPR_paper.pdf,,
153,Exemplar-Based Face Parsing,,Brandon M. Smith;Li Zhang;Jonathan Brandt;Zhe Lin;Jianchao Yang;,University of Wisconsin–Madison;Adobe;,United States;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Smith_Exemplar-Based_Face_Parsing_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Smith_Exemplar-Based_Face_Parsing_2013_CVPR_paper.pdf,,
154,Expanded Parts Model for Human Attribute and Action Recognition in Still Images,,Gaurav Sharma;Frederic Jurie;Cordelia Schmid;,University of Caen Basse-Normandie;INRIA Grenoble Rhône-Alpes;,France;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Sharma_Expanded_Parts_Model_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Sharma_Expanded_Parts_Model_2013_CVPR_paper.pdf,,
155,Explicit Occlusion Modeling for 3D Object Class Representations,,M. Zeeshan Zia;Michael Stark;Konrad Schindler;,,,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Zia_Explicit_Occlusion_Modeling_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Zia_Explicit_Occlusion_Modeling_2013_CVPR_paper.pdf,,
156,Exploiting the Power of Stereo Confidences,,David Pfeiffer;Stefan Gehrig;Nicolai Schneider;,Daimler AG;IT-Designers GmbH;,Germany;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Pfeiffer_Exploiting_the_Power_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Pfeiffer_Exploiting_the_Power_2013_CVPR_paper.pdf,,
157,Exploring Compositional High Order Pattern Potentials for Structured Output Learning,,Yujia Li;Daniel Tarlow;Richard Zemel;,University of Toronto;,Canada;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Li_Exploring_Compositional_High_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Li_Exploring_Compositional_High_2013_CVPR_paper.pdf,,
158,Exploring Implicit Image Statistics for Visual Representativeness Modeling,,Xiaoshuai Sun;Xin-Jing Wang;Hongxun Yao;Lei Zhang;,Harbin Institute of Technology;Microsoft;,China;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Sun_Exploring_Implicit_Image_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Sun_Exploring_Implicit_Image_2013_CVPR_paper.pdf,,
159,Exploring Weak Stabilization for Motion Feature Extraction,,Dennis Park;C. L. Zitnick;Deva Ramanan;Piotr Dollar;,"University of California, Irvine;Microsoft;",United States;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Park_Exploring_Weak_Stabilization_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Park_Exploring_Weak_Stabilization_2013_CVPR_paper.pdf,,
160,Expressive Visual Text-to-Speech Using Active Appearance Models,,Robert Anderson;Bjorn Stenger;Vincent Wan;Roberto Cipolla;,,,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Anderson_Expressive_Visual_Text-to-Speech_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Anderson_Expressive_Visual_Text-to-Speech_2013_CVPR_paper.pdf,,
161,Face Recognition in Movie Trailers via Mean Sequence Sparse Representation-Based Classification,,Enrique G. Ortiz;Alan Wright;Mubarak Shah;,,,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Ortiz_Face_Recognition_in_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Ortiz_Face_Recognition_in_2013_CVPR_paper.pdf,,
162,Facial Feature Tracking Under Varying Facial Expressions and Face Poses Based on Restricted Boltzmann Machines,,Yue Wu;Zuoguan Wang;Qiang Ji;,Rensselaer Polytechnic Institute;,United States;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Wu_Facial_Feature_Tracking_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Wu_Facial_Feature_Tracking_2013_CVPR_paper.pdf,,
163,Fast Convolutional Sparse Coding,,Hilton Bristow;Anders Eriksson;Simon Lucey;,Queensland University of Technology;University of Adelaide;Commonwealth Scientific and Industrial Research Organisation;,Australia;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Bristow_Fast_Convolutional_Sparse_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Bristow_Fast_Convolutional_Sparse_2013_CVPR_paper.pdf,,
164,Fast Energy Minimization Using Learned State Filters,,Matthieu Guillaumin;Luc Van Gool;Vittorio Ferrari;,ETH Zurich;Katholieke Universiteit Leuven;University of Edinburgh;,Switzerland;Belgium;United Kingdom;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Guillaumin_Fast_Energy_Minimization_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Guillaumin_Fast_Energy_Minimization_2013_CVPR_paper.pdf,,
165,Fast Image Super-Resolution Based on In-Place Example Regression,,Jianchao Yang;Zhe Lin;Scott Cohen;,Adobe;,United States;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Yang_Fast_Image_Super-Resolution_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Yang_Fast_Image_Super-Resolution_2013_CVPR_paper.pdf,,
166,Fast Multiple-Part Based Object Detection Using KD-Ferns,,Dan Levi;Shai Silberstein;Aharon Bar-Hillel;,General Motors;,Israel;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Levi_Fast_Multiple-Part_Based_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Levi_Fast_Multiple-Part_Based_2013_CVPR_paper.pdf,,
167,Fast Object Detection with Entropy-Driven Evaluation,,Raphael Sznitman;Carlos Becker;Francois Fleuret;Pascal Fua;,EPFL;Idiap Research Institute;,Switzerland;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Sznitman_Fast_Object_Detection_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Sznitman_Fast_Object_Detection_2013_CVPR_paper.pdf,,
168,Fast Patch-Based Denoising Using Approximated Patch Geodesic Paths,,Xiaogang Chen;Sing Bing Kang;Jie Yang;Jingyi Yu;,Shanghai Jiao Tong University;Microsoft;Key Laboratory of System Control and Information Processing;University of Delaware;,China;United States;;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Chen_Fast_Patch-Based_Denoising_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Chen_Fast_Patch-Based_Denoising_2013_CVPR_paper.pdf,,
169,Fast Rigid Motion Segmentation via Incrementally-Complex Local Models,,Fernando Flores-Mangas;Allan D. Jepson;,University of Toronto;,Canada;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Flores-Mangas_Fast_Rigid_Motion_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Flores-Mangas_Fast_Rigid_Motion_2013_CVPR_paper.pdf,,
170,Fast Trust Region for Segmentation,,Lena Gorelick;Frank R. Schmidt;Yuri Boykov;,University of Western Ontario;University of Freiburg;,Canada;Germany;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Gorelick_Fast_Trust_Region_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Gorelick_Fast_Trust_Region_2013_CVPR_paper.pdf,,
171,FasT-Match: Fast Affine Template Matching,,Simon Korman;Daniel Reichman;Gilad Tsur;Shai Avidan;,,,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Korman_FasT-Match_Fast_Affine_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Korman_FasT-Match_Fast_Affine_2013_CVPR_paper.pdf,,
172,"Fast, Accurate Detection of 100,000 Object Classes on a Single Machine",,Thomas Dean;Mark A. Ruzon;Mark Segal;Jonathon Shlens;Sudheendra Vijayanarasimhan;Jay Yagnik;,Google;,United States;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Dean_Fast_Accurate_Detection_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Dean_Fast_Accurate_Detection_2013_CVPR_paper.pdf,,
173,Finding Group Interactions in Social Clutter,,Ruonan Li;Parker Porfilio;Todd Zickler;,Harvard University;Brown University;,United States;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Li_Finding_Group_Interactions_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Li_Finding_Group_Interactions_2013_CVPR_paper.pdf,,
174,Finding Things: Image Parsing with Regions and Per-Exemplar Detectors,,Joseph Tighe;Svetlana Lazebnik;,University of North Carolina;University of Illinois Urbana-Champaign;,United States;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Tighe_Finding_Things_Image_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Tighe_Finding_Things_Image_2013_CVPR_paper.pdf,,
175,Fine-Grained Crowdsourcing for Fine-Grained Recognition,,Jia Deng;Jonathan Krause;Li Fei-Fei;,,,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Deng_Fine-Grained_Crowdsourcing_for_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Deng_Fine-Grained_Crowdsourcing_for_2013_CVPR_paper.pdf,,
176,First-Person Activity Recognition: What Are They Doing to Me?,,Michael S. Ryoo;Larry Matthies;,California Institute of Technology;,United States;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Ryoo_First-Person_Activity_Recognition_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Ryoo_First-Person_Activity_Recognition_2013_CVPR_paper.pdf,,
177,Five Shades of Grey for Fast and Reliable Camera Pose Estimation,,Adam Herout;Istvan Szentandrasi;Michal Zacharias;Marketa Dubska;Rudolf Kajan;,Brno University of Technology;,Czech Republic;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Herout_Five_Shades_of_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Herout_Five_Shades_of_2013_CVPR_paper.pdf,,
178,FrameBreak: Dramatic Image Extrapolation by Guided Shift-Maps,,Yinda Zhang;Jianxiong Xiao;James Hays;Ping Tan;,,,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Zhang_FrameBreak_Dramatic_Image_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Zhang_FrameBreak_Dramatic_Image_2013_CVPR_paper.pdf,,
179,From Local Similarity to Global Coding: An Application to Image Classification,,Amirreza Shaban;Hamid R. Rabiee;Mehrdad Farajtabar;Marjan Ghazvininejad;,Sharif University of Technology;Georgia Institute of Technology;EPFL;,Iran;United States;Switzerland;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Shaban_From_Local_Similarity_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Shaban_From_Local_Similarity_2013_CVPR_paper.pdf,,
180,From N to N+1: Multiclass Transfer Incremental Learning,,Ilja Kuzborskij;Francesco Orabona;Barbara Caputo;,Idiap Research Institute;EPFL;Toyota Technological Institute at Chicago;,Switzerland;United States;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Kuzborskij_From_N_to_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Kuzborskij_From_N_to_2013_CVPR_paper.pdf,,
181,Fully-Connected CRFs with Non-Parametric Pairwise Potential,,Neill D.F. Campbell;Kartic Subr;Jan Kautz;,,,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Campbell_Fully-Connected_CRFs_with_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Campbell_Fully-Connected_CRFs_with_2013_CVPR_paper.pdf,,
182,Fusing Depth from Defocus and Stereo with Coded Apertures,,Yuichi Takeda;Shinsaku Hiura;Kosuke Sato;,,,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Takeda_Fusing_Depth_from_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Takeda_Fusing_Depth_from_2013_CVPR_paper.pdf,,
183,Fusing Robust Face Region Descriptors via Multiple Metric Learning for Face Recognition in the Wild,,Zhen Cui;Wen Li;Dong Xu;Shiguang Shan;Xilin Chen;,Chinese Academy of Sciences;Huaqiao University;Nanyang Technological University;,China;Singapore;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Cui_Fusing_Robust_Face_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Cui_Fusing_Robust_Face_2013_CVPR_paper.pdf,,
184,Gauging Association Patterns of Chromosome Territories via Chromatic Median,,Hu Ding;Branislav Stojkovic;Ronald Berezney;Jinhui Xu;,State University of New York at Buffalo;,United States;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Ding_Gauging_Association_Patterns_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Ding_Gauging_Association_Patterns_2013_CVPR_paper.pdf,,
185,Generalized Domain-Adaptive Dictionaries,,Sumit Shekhar;Vishal M. Patel;Hien V. Nguyen;Rama Chellappa;,University of Maryland;,United States;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Shekhar_Generalized_Domain-Adaptive_Dictionaries_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Shekhar_Generalized_Domain-Adaptive_Dictionaries_2013_CVPR_paper.pdf,,
186,GeoF: Geodesic Forests for Learning Coupled Predictors,,Peter Kontschieder;Pushmeet Kohli;Jamie Shotton;Antonio Criminisi;,,,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Kontschieder_GeoF_Geodesic_Forests_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Kontschieder_GeoF_Geodesic_Forests_2013_CVPR_paper.pdf,,
187,Geometric Context from Videos,,S. Hussain Raza;Matthias Grundmann;Irfan Essa;,,,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Raza_Geometric_Context_from_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Raza_Geometric_Context_from_2013_CVPR_paper.pdf,,
188,Globally Consistent Multi-label Assignment on the Ray Space of 4D Light Fields,,Sven Wanner;Christoph Straehle;Bastian Goldluecke;,,,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Wanner_Globally_Consistent_Multi-label_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Wanner_Globally_Consistent_Multi-label_2013_CVPR_paper.pdf,,
189,Graph Matching with Anchor Nodes: A Learning Approach,,Nan Hu;Raif M. Rustamov;Leonidas Guibas;,Stanford University;,United States;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Hu_Graph_Matching_with_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Hu_Graph_Matching_with_2013_CVPR_paper.pdf,,
190,Graph Transduction Learning with Connectivity Constraints with Application to Multiple Foreground Cosegmentation,,Tianyang Ma;Longin Jan Latecki;,Temple University;,United States;,Poster,https://openaccess.thecvf.com/content_cvpr_2013/html/Ma_Graph_Transduction_Learning_2013_CVPR_paper.html,https://openaccess.thecvf.com/content_cvpr_2013/papers/Ma_Graph_Transduction_Learning_2013_CVPR_paper.pdf,,
