Index,Title,Session/Area,Authors,Affiliation,Country,Status,Proceeding URL,PDF URL
909,Topology Distance: A Topology-Based Approach for Evaluating Generative Adversarial Networks,Machine Learning II,Danijela Horak;Simiao Yu;Gholamreza Salimi-Khorshidi;,American International Group;University of Oxford;,United States;United Kingdom;,Technical,https://aaai.org/papers/07721-topology-distance-a-topology-based-approach-for-evaluating-generative-adversarial-networks/,https://cdn.aaai.org/ojs/16943/16943-13-20437-1-2-20210518.pdf
910,Towards Reusable Network Components by Learning Compatible Representations,Machine Learning II,Michael Gygli;Jasper Uijlings;Vittorio Ferrari;,Google;,United States;,Technical,https://aaai.org/papers/07620-towards-reusable-network-components-by-learning-compatible-representations/,https://cdn.aaai.org/ojs/16932/16932-13-20426-1-2-20210518.pdf
911,Uncertainty-Aware Multi-View Representation Learning,Machine Learning II,Yu Geng;Zongbo Han;Changqing Zhang;Qinghua Hu;,Tianjin University;Tianjin Key Lab of Machine Learning;,China;,Technical,https://aaai.org/papers/07545-uncertainty-aware-multi-view-representation-learning/,https://cdn.aaai.org/ojs/16924/16924-13-20418-1-2-20210518.pdf
912,Understanding Catastrophic Overfitting in Single-step Adversarial Training,Machine Learning II,Hoki Kim;Woojin Lee;Jaewook Lee;,Seoul National University;,South Korea;,Technical,https://aaai.org/papers/08119-understanding-catastrophic-overfitting-in-single-step-adversarial-training/,https://cdn.aaai.org/ojs/16989/16989-13-20483-1-2-20210518.pdf
913,Unsupervised Active Learning via Subspace Learning,Machine Learning II,Changsheng Li;Kaihang Mao;Lingyan Liang;Dongchun Ren;Wei Zhang;Ye Yuan;Guoren Wang;,Beijing Institute of Technology;Inspur Group Company Limited;Meituan;University of Electronic Science and Technology of China;,China;,Technical,https://aaai.org/papers/08332-unsupervised-active-learning-via-subspace-learning/,https://cdn.aaai.org/ojs/17013/17013-13-20507-1-2-20210518.pdf
914,Unsupervised Domain Adaptation for Semantic Segmentation by Content Transfer,Machine Learning II,Suhyeon Lee;Junhyuk Hyun;Hongje Seong;Euntai Kim;,Yonsei University;,South Korea;,Technical,https://aaai.org/papers/08306-unsupervised-domain-adaptation-for-semantic-segmentation-by-content-transfer/,https://cdn.aaai.org/ojs/17010/17010-13-20504-1-2-20210518.pdf
915,Variance Penalized On-Policy and Off-Policy Actor-Critic,Machine Learning II,Arushi Jain;Gandharv Patil;Ayush Jain;Khimya Khetarpal;Doina Precup;,McGill University;Mila;Google;,Canada;,Technical,https://aaai.org/papers/07899-variance-penalized-on-policy-and-off-policy-actor-critic/,https://cdn.aaai.org/ojs/16964/16964-13-20458-1-2-20210518.pdf
916,Visual Concept Reasoning Networks,Machine Learning II,Taesup Kim;Sungwoong Kim;Yoshua Bengio;,Université de Montréal;Amazon;Kakao Brain;,Canada;United States;South Korea;,Technical,https://aaai.org/papers/08172-visual-concept-reasoning-networks/,https://cdn.aaai.org/ojs/16995/16995-13-20489-1-2-20210518.pdf
917,VSQL: Variational Shadow Quantum Learning for Classification,Machine Learning II,Guangxi Li;Zhixin Song;Xin Wang;,Baidu;University of Technology Sydney;,China;Australia;,Technical,https://aaai.org/papers/08357-vsql-variational-shadow-quantum-learning-for-classification/,https://cdn.aaai.org/ojs/17016/17016-13-20510-1-2-20210518.pdf
918,Winning Lottery Tickets in Deep Generative Models,Machine Learning II,Neha Mukund Kalibhat;Yogesh Balaji;Soheil Feizi;,University of Maryland;,United States;,Technical,https://aaai.org/papers/08038-winning-lottery-tickets-in-deep-generative-models/,https://cdn.aaai.org/ojs/16980/16980-13-20474-1-2-20210518.pdf
919,5* Knowledge Graph Embeddings with Projective Transformations,Machine Learning III,Mojtaba Nayyeri;Sahar Vahdati;Can Aykul;Jens Lehmann;,University of Bonn;Nature-Inspired Machine Intelligence-InfAI;Fraunhofer Institute for Intelligent Analysis and Information Systems;,Germany;,Technical,https://aaai.org/papers/09064-5-knowledge-graph-embeddings-with-projective-transformations/,https://cdn.aaai.org/ojs/17095/17095-13-20589-1-2-20210518.pdf
920,A Free Lunch for Unsupervised Domain Adaptive Object Detection without Source Data,Machine Learning III,Xianfeng Li;Weijie Chen;Di Xie;Shicai Yang;Peng Yuan;Shiliang Pu;Yueting Zhuang;,South China University of Technology;Hikvision Research Institute;Zhejiang University;,China;,Technical,https://aaai.org/papers/08474-a-free-lunch-for-unsupervised-domain-adaptive-object-detection-without-source-data/,https://cdn.aaai.org/ojs/17029/17029-13-20523-1-2-20210518.pdf
921,A General Class of Transfer Learning Regression without Implementation Cost,Machine Learning III,Shunya Minami;Song Liu;Stephen Wu;Kenji Fukumizu;Ryo Yoshida;,Graduate University for Advanced Studies;Institute of Statistical Mathematics;National Institute for Materials Science;University of Bristol;,Japan;United Kingdom;,Technical,https://aaai.org/papers/08992-a-general-class-of-transfer-learning-regression-without-implementation-cost/,https://cdn.aaai.org/ojs/17087/17087-13-20581-1-2-20210518.pdf
922,Adaptive Knowledge Driven Regularization for Deep Neural Networks,Machine Learning III,Zhaojing Luo;Shaofeng Cai;Can Cui;Beng Chin Ooi;Yang Yang;,National University of Singapore;University of Electronic Science and Technology of China;,Singapore;China;,Technical,https://aaai.org/papers/08810-adaptive-knowledge-driven-regularization-for-deep-neural-networks/,https://cdn.aaai.org/ojs/17067/17067-13-20561-1-2-20210518.pdf
923,Advice-Guided Reinforcement Learning in a non-Markovian Environment,Machine Learning III,Daniel Neider;Jean-Raphael Gaglione;Ivan Gavran;Ufuk Topcu;Bo Wu;Zhe Xu;,Max Planck Institute for Software Systems;Ecole Polytechnique;University of Texas at Austin;Arizona State University;,Germany;France;United States;,Technical,https://aaai.org/papers/09073-advice-guided-reinforcement-learning-in-a-non-markovian-environment/,https://cdn.aaai.org/ojs/17096/17096-13-20590-1-2-20210518.pdf
924,An Information-Theoretic Framework for Unifying Active Learning Problems,Machine Learning III,Quoc Phong Nguyen;Bryan Kian Hsiang Low;Patrick Jaillet;,National University of Singapore;Massachusetts Institute of Technology;,Singapore;United States;,Technical,https://aaai.org/papers/09126-an-information-theoretic-framework-for-unifying-active-learning-problems/,https://cdn.aaai.org/ojs/17102/17102-13-20596-1-2-20210518.pdf
925,Augmented Experiment in Material Engineering Using Machine Learning,Machine Learning III,Aomar Osmani;Massinissa Hamidi;Salah Bouhouche;,Universite Sorbonne Paris Nord;Industrial Technologies Research Center;,France;China;,Technical,https://aaai.org/papers/09251-augmented-experiment-in-material-engineering-using-machine-learning/,https://cdn.aaai.org/ojs/17116/17116-13-20610-1-2-20210518.pdf
926,Auto-Encoding Transformations in Reparameterized Lie Groups for Unsupervised Learning,Machine Learning III,Feng Lin;Haohang Xu;Houqiang Li;Hongkai Xiong;Guo-Jun Qi;,University of Science and Technology of China;Shanghai Jiao Tong University;Hefei Comprehensive National Science Center;Futurewei Technologies;,China;United States;,Technical,https://aaai.org/papers/08610-auto-encoding-transformations-in-reparameterized-lie-groups-for-unsupervised-learning/,https://cdn.aaai.org/ojs/17044/17044-13-20538-1-2-20210518.pdf
927,Bayesian Distributional Policy Gradients,Machine Learning III,Luchen Li;A. Aldo Faisal;,Imperial College London;,United Kingdom;,Technical,https://aaai.org/papers/08429-bayesian-distributional-policy-gradients/,https://cdn.aaai.org/ojs/17024/17024-13-20518-1-2-20210518.pdf
928,Bi-Classifier Determinacy Maximization for Unsupervised Domain Adaptation,Machine Learning III,Shuang Li;Fangrui Lv;Binhui Xie;Chi Harold Liu;Jian Liang;Chen Qin;,Beijing Institute of Technology;Alibaba Group;University of Edinburgh;,China;United Kingdom;,Technical,https://aaai.org/papers/08455-bi-classifier-determinacy-maximization-for-unsupervised-domain-adaptation/,https://cdn.aaai.org/ojs/17027/17027-13-20521-1-2-20210518.pdf
929,Class-Attentive Diffusion Network for Semi-Supervised Classification,Machine Learning III,Jongin Lim;Daeho Um;Hyung Jin Chang;Dae Ung Jo;Jin Young Choi;,Seoul National University;University of Birmingham;,South Korea;United Kingdom;,Technical,https://aaai.org/papers/08601-class-attentive-diffusion-network-for-semi-supervised-classification/,https://cdn.aaai.org/ojs/17043/17043-13-20537-1-2-20210518.pdf
930,Clinical Risk Prediction with Temporal Probabilistic Asymmetric Multi-Task Learning,Machine Learning III,A. Tuan Nguyen;Hyewon Jeong;Eunho Yang;Sung Ju Hwang;,Korea Advanced Institute of Science and Technology;University of Oxford;AITRICS;,South Korea;United Kingdom;,Technical,https://aaai.org/papers/09081-clinical-risk-prediction-with-temporal-probabilistic-asymmetric-multi-task-learning/,https://cdn.aaai.org/ojs/17097/17097-13-20591-1-2-20210518.pdf
931,Composite Adversarial Attacks,Machine Learning III,Xiaofeng Mao;Yuefeng Chen;Shuhui Wang;Hang Su;Yuan He;Hui Xue;,Alibaba Group;Chinese Academy of Sciences;Tsinghua University;,China;,Technical,https://aaai.org/papers/08884-composite-adversarial-attacks/,https://cdn.aaai.org/ojs/17075/17075-13-20569-1-2-20210518.pdf
932,Consistency and Finite Sample Behavior of Binary Class Probability Estimation,Machine Learning III,Alexander Mey;Marco Loog;,Delft University of Technology;University of Copenhagen;,Netherlands;Denmark;,Technical,https://aaai.org/papers/08967-consistency-and-finite-sample-behavior-of-binary-class-probability-estimation/,https://cdn.aaai.org/ojs/17084/17084-13-20578-1-2-20210518.pdf
933,Contrastive Clustering,Machine Learning III,Yunfan Li;Peng Hu;Zitao Liu;Dezhong Peng;Joey Tianyi Zhou;Xi Peng;,Sichuan University;TAL Education Group;Pengcheng Laboratory;Southwest University;A*STAR Institute of High Performance Computing;,China;Singapore;,Technical,https://aaai.org/papers/08547-contrastive-clustering/,https://cdn.aaai.org/ojs/17037/17037-13-20531-1-2-20210518.pdf
934,Decentralized Policy Gradient Descent Ascent for Safe Multi-Agent Reinforcement Learning,Machine Learning III,Songtao Lu;Kaiqing Zhang;Tianyi Chen;Tamer Başar;Lior Horesh;,IBM;University of Illinois Urbana-Champaign;Rensselaer Polytechnic Institute;,United States;,Technical,https://aaai.org/papers/08767-decentralized-policy-gradient-descent-ascent-for-safe-multi-agent-reinforcement-learning/,https://cdn.aaai.org/ojs/17062/17062-13-20556-1-2-20210518.pdf
935,Deep Mutual Information Maximin for Cross-Modal Clustering,Machine Learning III,Yiqiao Mao;Xiaoqiang Yan;Qiang Guo;Yangdong Ye;,Zhengzhou University;,China;,Technical,https://aaai.org/papers/08893-deep-mutual-information-maximin-for-cross-modal-clustering/,https://cdn.aaai.org/ojs/17076/17076-13-20570-1-2-20210518.pdf
936,Defending against Backdoors in Federated Learning with Robust Learning Rate,Machine Learning III,Mustafa Safa Ozdayi;Murat Kantarcioglu;Yulia R. Gel;,University of Texas at Dallas;,United States;,Technical,https://aaai.org/papers/09268-defending-against-backdoors-in-federated-learning-with-robust-learning-rate/,https://cdn.aaai.org/ojs/17118/17118-13-20612-1-2-20210518.pdf
937,Differentially Private k-Means via Exponential Mechanism and Max Cover,Machine Learning III,Huy L. Nguyen;Anamay Chaturvedi;Eric Z Xu;,Northeastern University;,United States;,Technical,https://aaai.org/papers/09101-differentially-private-k-means-via-exponential-mechanism-and-max-cover/,https://cdn.aaai.org/ojs/17099/17099-13-20593-1-2-20210518.pdf
